City,Latitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Clyde River,70.4692,39.43,39.43,87,75,8.05,CA
Mahébourg,-20.4081,70.09,70.25,73,75,11.5,MU
Lagoa,39.05,72.75,72.75,74,0,6.67,PT
Airai,-8.9266,56.66,56.66,94,58,3.15,TL
Cape Town,-33.9258,51.67,53.91,77,0,12.66,ZA
Busselton,-33.65,57.52,57.52,82,86,27.2,AU
Fayaoué,-20.65,73.45,73.45,77,98,24.79,NC
Thompson,55.7435,64.56,64.56,63,100,0.0,CA
Rikitea,-23.1203,71.94,71.94,75,100,21.97,PF
Cabo San Lucas,22.8909,90.52,94.6,69,96,7.0,MX
George Town,5.4112,79.75,81.9,83,40,3.44,MY
Strelka,58.0728,61.68,61.68,99,99,3.85,RU
Lajkovac,44.3694,65.61,65.61,54,32,2.33,RS
Loandjili,-4.7561,70.61,70.61,91,1,7.9,CG
Carnarvon,-24.8667,69.21,69.21,52,100,10.2,AU
Vaini,-21.2,78.96,78.96,94,75,6.91,TO
Kruisfontein,-34.0033,45.59,45.59,80,1,7.38,ZA
Yellowknife,62.456,64.92,64.92,42,40,4.61,CA
Guozhen,34.3659,73.27,73.27,86,72,2.84,CN
Burnie,-41.0667,45.95,45.95,90,97,13.18,AU
Carbonia,39.1672,77.95,77.95,67,0,5.59,IT
Chui,-33.6971,49.01,49.01,81,92,4.29,UY
Chato,-2.6378,67.98,67.98,81,22,2.21,TZ
Sabla,12.7525,74.44,74.44,78,55,8.25,NG
Aswān,24.0934,92.5,92.5,17,0,4.61,EG
São João da Barra,-21.6403,71.69,71.69,71,3,7.34,BR
Hithadhoo,-0.6,80.17,80.17,75,100,16.02,MV
Nikolskoye,59.7035,56.91,58.89,78,100,3.27,RU
Mataura,-46.1927,40.48,40.48,91,6,4.5,NZ
Oblivskaya,48.5362,73.63,73.63,64,2,9.69,RU
Salym,60.0625,53.46,53.46,73,100,8.28,RU
Punta Arenas,-53.15,42.12,42.12,81,100,12.21,CL
Tiznit Province,29.5833,84.51,84.51,33,21,1.61,MA
Aasiaat,68.7098,40.23,40.23,94,55,8.9,GL
Jamestown,42.097,78.94,81.95,45,20,9.22,US
Ushuaia,-54.8,38.86,38.86,87,20,4.61,AR
Lavrentiya,65.5833,47.55,47.55,71,62,2.98,RU
Geraldton,-28.7667,59.41,59.41,67,100,20.71,AU
Ţahţā,26.7693,87.84,87.84,24,46,5.84,EG
Bambous Virieux,-20.3428,70.05,70.21,73,75,11.5,MU
Goldsboro,35.3849,75.27,82.54,89,100,11.5,US
Kumluca,36.3703,84.27,84.27,52,0,3.56,TR
Upernavik,72.7868,51.1,51.1,63,95,1.16,GL
College,64.8569,59.02,60.75,90,75,0.0,US
Bethel,41.3712,83.25,86.47,52,20,10.36,US
Bonham,33.5773,99.39,102.63,32,0,6.91,US
Port Hardy,50.6996,66.38,66.38,77,75,9.22,CA
Avarua,-21.2078,78.85,78.85,69,20,16.11,CK
Svetlaya,46.5389,62.82,62.82,94,100,3.29,RU
Calama,-22.4667,73.89,73.89,10,0,19.57,CL
Arraial do Cabo,-22.9661,67.86,67.86,73,0,4.61,BR
Bredasdorp,-34.5322,43.0,43.0,82,3,3.98,ZA
Hamilton,39.1834,77.32,81.21,73,100,8.05,US
Bluff,-46.6,40.8,40.8,79,40,14.32,NZ
Peterhead,57.5058,49.8,55.8,76,94,3.0,GB
Provideniya,64.3833,48.31,48.36,81,40,4.47,RU
Saint Paul Harbor,57.79,60.31,60.31,77,100,3.44,US
Saskylakh,71.9167,43.9,43.9,85,99,10.83,RU
Castro,-24.7911,55.49,55.49,70,0,1.95,BR
Māngrol,21.1167,80.73,80.73,82,85,15.28,IN
Sittwe,20.15,82.9,82.9,79,100,2.71,MM
Okhotsk,59.3833,58.06,58.06,90,100,6.53,RU
Khatanga,71.9667,44.37,44.37,77,100,7.02,RU
Little Current,45.9793,64.45,77.41,61,1,9.01,CA
Olafsvik,64.8945,48.22,48.22,66,100,11.68,IS
Bac Lieu,9.285,80.15,80.15,87,100,8.41,VN
Newport,51.5877,63.46,67.68,83,47,8.5,GB
Mgachi,51.05,62.73,62.73,78,60,4.83,RU
Tuktoyaktuk,69.4541,62.6,62.6,51,40,5.75,CA
Gao,16.6362,91.81,91.81,31,32,20.09,ML
Bilibino,68.0546,60.21,60.21,51,91,5.3,RU
Saint George,37.1041,95.95,96.8,35,0,4.61,US
Grindavik,63.8424,50.47,51.75,76,75,11.5,IS
São Filipe,14.8961,75.67,75.67,77,43,5.68,CV
Hermanus,-34.4187,49.19,49.19,72,3,6.98,ZA
Champerico,14.3,90.14,90.14,72,100,4.56,GT
Saldanha,-33.0117,52.45,52.45,78,0,15.55,ZA
Pevek,69.7008,47.71,47.71,66,0,12.03,RU
Guantánamo,20.1444,90.46,90.97,53,14,11.56,CU
Beringovskiy,63.05,50.81,50.81,63,92,4.0,RU
Poroshkovo,48.6683,60.91,60.91,100,94,3.15,UA
Lorengau,-2.0226,83.98,83.98,72,100,11.43,PG
Tūkrah,32.5341,79.03,79.03,78,0,4.5,LY
Alta Gracia,-31.6529,62.53,68.77,33,1,2.59,AR
Dehlorān,32.6941,97.99,97.99,18,0,10.22,IR
Port Alfred,-33.5906,53.47,53.47,74,21,12.1,ZA
Hervey Bay,-25.2986,64.72,64.72,73,100,4.76,AU
Qaanaaq,77.484,47.17,47.17,58,76,2.1,GL
Karasburg,-28.0167,46.09,46.09,30,0,10.18,NA
Labuhan,-6.8844,74.23,74.23,86,99,6.35,ID
Sabang,5.8933,82.06,82.06,75,100,15.64,ID
New Norfolk,-42.7826,45.9,50.92,78,99,3.0,AU
